"id","nom","conservation"
"273044","Steak de longe","congelo"
"273051","Brioches à l'érable et aux noix","tablette"
"273056","Chandelle modèle Vignes","tablette"
"273069","Miel de fleurs de sarrasins","tablette"
"273088","Planche à découper 12 x 16","tablette"
"274001","Feta Pénélope NATURE","frigo"
"277010","Estragon (séché)","tablette"
"277012","Farine tout usage tamisée","tablette"
"277018","Pommier Belmac 3 ans","tablette"
"277032","Capicollo doux de sangliers","congelo"
"277038","Cretons de sanglier pommes","congelo"
"277043","Chandelle modèle ruche en corde","tablette"
"277046","Chandelle modèle cierge 12-15cm","tablette"
"277054","TETE FROMAGE","frigo"
"277055","Meringue à l'érable","tablette"
"277056","Saucisses Ciboulette et vin blanc (veau et porc)","congelo"
"277059","Biscotti aux canneberges et orange","tablette"
"277066","RILLETTE DE PORC","frigo"
"277069","JAMBON FUMÉ TRANCHÉ MINCE","frigo"
"278011","Basilic Genovese (séché)","tablette"
"278012","Prêle des champs (Tisane)","tablette"
"278015","Pousses de tournesol ","frigo"
"278046","Chandelle modèle Reine abeille","tablette"
"278050","Chandelle modèle petites abeilles","tablette"
"278055","Miel de fleurs sauvages","tablette"
"278062","Saucisses Fines herbes *SANS GLUTEN*(veau et porc)","congelo"
"278065","BOUDIN AUX POMMES","frigo"
"278066","Rayon de miel (miel d'été)","tablette"
"278069","PEPPERONI","frigo"
"278071","Miel crémeux aux bleuets","frigo"
"278074","Chandelle réguliere","tablette"
"281002","Rôti de longe","congelo"
"285011","Olives vertes aux amandes rôties sans-sel","frigo"
"286005","Pousses de sarrasin ","frigo"
"287004","Pousses de radis","frigo"
"287005","Olives noires au fromage de chèvre","frigo"
"287008","Olives vertes au fromage bleu","frigo"
"289002","Pépites d'érable","tablette"
"291014","Pesto au basilic","frigo"
"293001","Sucre granulé d'érable","tablette"
"293004","SAUCISSE FINES HERBE","frigo"
"293007","Pousses de brocoli","frigo"
"293010","Olives vertes avec ail","frigo"
"295004","Trèfle germé ","frigo"
"295005","Centre de table en germination sur réservation pour Noel 2018","tablette"
"295008","Olives vertes aux tomates séchées au soleil","frigo"
"295010","Olives vertes au fromage fêta","frigo"
"297013","Bacon de sangliers","congelo"
"297019","Jambon d'autrefois de sanglier","congelo"
"297026","Chandelle modèle cierge","tablette"
"297036","Miel crémeux au beurre d'amandes","tablette"
"297052","CRETON DE PORC","frigo"
"297055","BACON FUMÉ","frigo"
"297056","JAMBON FUMÉ TRANCHÉ MINCE SANS NITRITE","frigo"
"298008","Farine à pain tamisée","tablette"
"298021","ROTI DE LONGE DE PORC DÉSOSSÉE","frigo"
"298023","FILET DE PORC","frigo"
"299002","Planche à découper 16 x 20","tablette"
"299015","Farine d'épeautre entière","tablette"
"299021","Farine d'épeautre tamisée.","tablette"
"300018","PATTE DE PORC","frigo"
"300021","COTELETTE FUMÉE","frigo"
"301025","PORC HACHÉ","frigo"
"302005","Farine de kamut","tablette"
"302019","GRILLADE DE LARDS SALÉ","frigo"
"303019","CARRÉ DE PORC","frigo"
"304007","Carrés aux fraises et canneberges","tablette"
"304009","Barres au cacao et aux noix","tablette"
"304018","JAMBON BLANC TRANCHÉ MINCE","frigo"
"305001","Farine de blé intégral à pain","tablette"
"305014","Gaufres Liégeoises( Belges)","congelo"
"305020","Roti de porc avec os","frigo"
"305023","PATE MEXICAIN","frigo"
"305025","TERRINE NATURE","frigo"
"308011","TERRINE FINES HERBES","frigo"
"308013","TERRINE CINQ POIVRE","frigo"
"308014","TERRINE AU COGNAC","frigo"
"308016","COTELETTE DE PORC FRAIS","frigo"
"308020","CHOUCROUTE GARNIE","frigo"
"308026","SAUCISSON A L'AIL","frigo"
"308032","SAUCISSE TOULOUSE","frigo"
"308037","SAUCISSE CINQ POIVRE","frigo"
"308040","SAUCISSE D'AUTREFOIS","frigo"
"309018","SAUCISSON NORDIQUE","frigo"
"309019","SAUCISSON JERKEY","frigo"
"309025","SAUCISSE FROMAGE ET BACON","frigo"
